"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Observation","Observation","","","",0,*,"","","","null {[]} {[]}
","Observation OMOP Table","The OBSERVATION table captures clinical facts about a Person obtained in the context of examination, questioning or a procedure. Any data that cannot be represented by any other domains, such as social and lifestyle facts, medical history, family history, etc. are recorded here.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Observation.unit-concept-id","Observation.unit_concept_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Unit","There is currently no recommended unit for individual observation concepts. UNIT_SOURCE_VALUES should be mapped to a Standard Concept in the Unit domain that best represents the unit as given in the source data.","","","","","","","","","",,,,,"",,,,"Observation.unit_concept_id",0,1,"",""
"Observation.provider-id","Observation.provider_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Provider]]}
","Provider","The provider associated with the observation record, e.g. the provider who ordered the test or the provider who recorded the result.","","","","","","","","","",,,,,"",,,,"Observation.provider_id",0,1,"",""
"Observation.visit-occurrence-id","Observation.visit_occurrence_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/VisitOccurrence]]}
","Visit Occurence","The visit during which the Observation occurred.","","","","","","","","","",,,,,"",,,,"Observation.visit_occurrence_id",0,1,"",""
"Observation.visit-detail-id","Observation.visit_detail_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/VisitDetail]]}
","Visit Detail","The VISIT_DETAIL record during which the Observation occurred. For example, if the Person was in the ICU at the time the VISIT_OCCURRENCE record would reflect the overall hospital stay and the VISIT_DETAIL record would reflect the ICU stay during the hospital visit.","","","","","","","","","",,,,,"",,,,"Observation.visit_detail_id",0,1,"",""
"Observation.observation-source-value","Observation.observation_source_value","","","",0,1,"","","","string {[]} {[]}
","Observation Source Value","This field houses the verbatim value from the source data representing the Observation that occurred. For example, this could be an ICD10 or Read code.","","","","","","","","","",,,,,"",,,,"Observation.observation_source_value",0,1,"",""
"Observation.observation-source-concept-id","Observation.observation_source_concept_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Observation Source","This is the concept representing the OBSERVATION_SOURCE_VALUE and may not necessarily be standard. This field is discouraged from use in analysis because it is not required to contain Standard Concepts that are used across the OHDSI community, and should only be used when Standard Concepts do not adequately represent the source detail for the Observation necessary for a given analytic use case. Consider using OBSERVATION_CONCEPT_ID instead to enable standardized analytics that can be consistent across the network.","","","","","","","","","",,,,,"",,,,"Observation.observation_source_concept_id",0,1,"",""
"Observation.unit-source-value","Observation.unit_source_value","","","",0,1,"","","","string {[]} {[]}
","Unit Source Value","This field houses the verbatim value from the source data representing the unit of the Observation that occurred.","","","","","","","","","",,,,,"",,,,"Observation.unit_source_value",0,1,"",""
"Observation.qualifier-source-value","Observation.qualifier_source_value","","","",0,1,"","","","string {[]} {[]}
","Qualifier Source Value","This field houses the verbatim value from the source data representing the qualifier of the Observation that occurred.","","","","","","","","","",,,,,"",,,,"Observation.qualifier_source_value",0,1,"",""
"Observation.value-source-value","Observation.value_source_value","","","",0,1,"","","","string {[]} {[]}
","Value Source Value","This field houses the verbatim result value of the Observation from the source data.  Do not get confused with the Observation_source_value which captures source value of the observation mapped to observation_concept_id. This field is the observation result value from the source.","","","","","","","","","",,,,,"",,,,"Observation.value_source_value",0,1,"",""
"Observation.observation-event-id","Observation.observation_event_id","","","",0,1,"","","","string {[]} {[]}
","Observation Event","If the Observation record is related to another record in the database, this field is the primary key of the linked record.","","","","","","","","","",,,,,"",,,,"Observation.observation_event_id",0,1,"",""
"Observation.obs-event-field-concept-id","Observation.obs_event_field_concept_id","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://health-data-hub.fr/ig/fhir/eds/StructureDefinition/Concept]]}
","Observation Event Field Concept","If the Observation record is related to another record in the database, this field is the CONCEPT_ID that identifies which table the primary key of the linked record came from.","","","","","","","","","",,,,,"",,,,"Observation.obs_event_field_concept_id",0,1,"",""
